kata,arti,kelas_kata
(air) susu dibalas dengan (air) tuba,kebaikan dibalas dengan kejahatan,
(bagai) duri dalam daging,sesuatu yang selalu menyakitkan hati atau mengganggu pikiran,
(me)rentan hati,"lekas marah (sakit hati, patah hati)",
(persetujuan) masih di perawanan,masih jauh (belum lagi tentu),
(sebagai durian) pangsa menunjukkan bangsa (sebagai durian menunjukkan pangsanya),kelakuan (perkataan dan sebagainya) seseorang menunjukkan tinggi rendahnya budi pekerti (asal dan sebagainya),
(seperti) abu di atas tanggul,"tidak tetap kedudukannya (sewaktu-waktu dapat diberhentikan, dipecat, dan sebagainya)",
(seperti) anjing menggonggong tulang,orang yang tidak pernah puas dengan apa yang sudah dimilikinya (loba atau tamak),
(seperti) anjing terpanggang ekor,mendapat kesusahan yang amat sangat sehingga tidak keruan tingkah lakunya,
(seperti) disalak anjing bertuah,tidak dapat bertangguh lagi,
(seperti) petir di siang bolong,"mendapat kabar yang mengagetkan, tidak diduga sebelumnya",
(seperti) pinang dibelah dua,(dua orang yang) serupa benar,
(seperti) pinang dibelah dua,(dua orang yang) serupa benar,
(seperti) pinang pulang ke tampuknya,"sudah pada tempatnya, sudah cocok",
(seperti) pinang pulang ke tampuknya,"sudah pada tempatnya, sudah sesuai dan tepat benar",
(ter)tungkus lumus,"terbenam di dalam pekerjaan (kesusahan, utang, dan sebagainya)",
-an,-,-
-anda,-,-
-da,→ -anda (2),
-da,-,-
-el-,-,-
-em-,-,-
-er-,-,-
-hedral,-,-
-hedron,-,-
-i,-,-
-iah,→ -i (1),
-iah,-,-
-if,-,-
-in-,-,-
-is,-,-
-isme,-,-
-itas,-,-
-kah,-,-
-kan,-,-
-ku,-,-
-lah,-,-
-man,-,-
-mu,-,-
-nda,→ -anda (2),
-nda,-,-
-ni,→ -i (2),
-ni,-,-
-nya,-,-
-sentris,-,-
-wan,-,-
-wati,→ -wan (2),
-wati,-,-
-wi,→ -i (2),
-wi,-,-
-wiah,→ -i (2),
-wiah,-,-
Allāh hāfiý,-,-
Allāh subḥānahū wa ta‘ālā,-,-
Xin Nian Kuai Le (新年快乐）,-,-
a,-,-
a fortiori,-,-
a posteriori,-,-
a prima vista,-,-
a quo,-,-
a tempo,-,-
a-,-,-
a.k.b.,-,-
a.k.b.p.,-,-
a.k.d.r.,-,-
a.md.,-,-
a.n.,-,-
a.p.,-,-
a.s.,-,-
aa,-,-
aabi,-,-
aabinomin,-,-
aaji,-,-
aal,-,-
aan,-,-
aau,-,-
aaui,-,-
ab,-,-
ab initio,-,-
ab initium,-,-
ab-,-,-
aba,-,-
aba-aba,-,-
abaaka,-,-
abab,-,-
abad,-,-
abad al-abīd,-,-
abad keemasan,"masa kegemilangan dan kejayaan yang dialami suatu bangsa atau negara dalam sejarahnya, zaman keemasan",
abad komputer,zaman modern yang ditandai dengan pemanfaatan komputer untuk menyimpan dan mengolah data serta mengakses informasi,
abad modern,masa atau zaman yang ditandai dengan kemajuan peradaban manusia (penemuan baru bidang teknologi dan sebagainya),
Abad Pertengahan,kurun waktu sekitar tahun 500–1500 dalam sejarah peradaban atau kebudayaan Eropa Barat,
abadi,-,-
abadiah,-,-
a.ba.di.at,→ abadiah,
abah,-,-
abah-abah,-,-
abah-abah kuda,"pakaian kuda (tali kekang, pelana, dan sebagainya)",
abah-abah perahu,tali-temali perahu,
abah-abah tenun,perkakas tenun,
abahan,-,-
abahui,-,-
abai,-,-
abaian,-,-
abaimana,-,-
abajang,-,-
abak manang,-,-
abaka,-,-
abaksial,-,-
abaktinal,-,-
abakus,-,-
abal,-,-
abal-abal,-,-
abalalu,-,-
abalone,-,-
abam,-,-
abampere,-,-
aban,-,-
abanat,-,-
abandira,-,-
abandonemen,-,-
abang,-,-
abangan,-,-
abangda,-,-
abangga,-,-
abano,-,-
abap,-,-
abar,-,-
abar pintu,alat untuk menutup pintu secara perlahan untuk mengurangi (menghilangkan) bunyi (benturan),
abar-abar,-,-
abaran,-,-
abarumbung,-,-
abas,-,-
abas-abas,-,-
abasia,-,-
abat,-,-
abate,-,-
abatis,-,-
abatisasi,-,-
abatoar,-,-
abaton,-,-
abau,-,-
abawi,-,-
abaya,-,-
abdas,-,-
abdi,-,-
abdi dalem,-,-
abdi masyarakat,pegawai pemerintah yang pada dasarnya mempunyai kewajiban melayani masyarakat,
abdi negara,pegawai negeri,
abdikasi,-,-
abdikasim,-,-
abdis,-,-
abdomen,-,-
abdomen akut,-,-
abdominal,-,-
abdominoplasti,-,-
abdu,-,-
abduksi,-,-
abduktor,-,-
ab.dul,→ abdu,
abdusen,-,-
abe,-,-
abece,-,-
abek,-,-
abeli,-,-
aben,-,-
aber,-,-
aberasi,-,-
aberasi cahaya,-,-
aberasi kromosom,-,-
abet,-,-
abg,-,-
abhibute antarikse,-,-
abhidhamma pitaka,-,-
abi,-,-
abian,-,-
abib,-,-
abibliofobia,-,-
abid,-,-
abidin,-,-
abih,-,-
abikara,-,-
abila,-,-
abilah,-,-
abilah peringgi,"penyakit raja singa, sifilis",
a.bi.ma.na,→ abaimana,
abina,-,-
abing,-,-
abiogenesis,-,-
abiogenik,-,-
abiologi,-,-
abiosen,-,-
abioseston,-,-
abiosfer,-,-
abiotik,-,-
abiotrofi,-,-
abir,-,-
abis,-,-
abisal,-,-
abiseka,-,-
abisobentos,-,-
abisopelagik,-,-
abit,-,-
abit partading,-,-
abiti,-,-
abiturien,-,-
abjad,-,-
abjad fonemis,sistem lambang yang mempertalikan satu lambang dengan sejumlah bunyi bahasa yang berperan sebagai satuan fungsional terkecil dalam struktur bahasa,
abjad fonetis,sistem lambang yang mempertalikan satu lambang dengan satu bunyi bahasa yang dihasilkan alat ucap manusia,
abjadiah,-,-
ab.jat,→ abjad,
abjeksi,-,-
abk,-,-
abklats,-,-
ablasi,-,-
ablasi kateter,-,-
ablasi retina,-,-
ablastin,-,-
ablatif,-,-
ablatif absolut,-,-
ablaut,-,-
ableisme,-,-
ablepsia,-,-
ab.lur,→ hablur,
abnon,-,-
abnormal,-,-
abnormalitas,-,-
abnormalitas genetis,ketidaknormalan pada gen,
abnus,-,-
abo,-,-
aboa,-,-
abobo,-,-
aboi,-,-
abolisi,-,-
abomasum,-,-
abon,-,-
abone,-,-
abonemen,-,-
abong-abong,-,-
aboospora,-,-
abor,-,-
aboral,-,-
aborigin,-,-
aborsi,-,-
aborsi kriminalis,aborsi yang dilakukan dengan sengaja karena suatu alasan dan bertentangan dengan undang-undang yang berlaku,
aborsi legal,aborsi yang dilaksanakan dengan sepengetahuan pihak yang berwenang,
aborsi medis,-,-
abortif,-,-
abortiva,-,-
abortus,-,-
abortus habitualis,-,-
abortus iminens,-,-
abortus inkomplet,-,-
abortus insipiens,-,-
abortus komplet,-,-
abortus provokatus,keguguran karena kesengajaan,
abortus spontan,abortus yang terjadi tanpa usaha dari luar,
abortus terancam,-,-
abortus terapeutik,abortus yang dilakukan atas indikasi medik,
abot,-,-
abotoi,-,-
aboya,-,-
abpar,-,-
abrab,-,-
abrag,-,-
abrahmacariya veramani sikhapadam samadiyami,-,-
abrak,-,-
abrakadabra,-,-
Ab.rap,→ Abrab,
abrar,-,-
abras,-,-
abrasi,-,-
abrasif,-,-
abreaksi,-,-
abrek,-,-
abreviasi,-,-
abri,-,-
abrikos,-,-
abrin,-,-
abrip,-,-
abripda,-,-
abriptu,-,-
abrit-abritan,-,-
abrogasi,-,-
Ab.rop,→ Abrab,
abrosfer,-,-
abrosia,-,-
abrupsi,-,-
abs,-,-
abs bawah,-,-
absah,-,-
absen,-,-
absensi,-,-
absente,-,-
absenteisme,-,-
abses,-,-
abses gigi,abses yang disebabkan oleh infeksi bakteri dalam pulp gigi,
abses kutaneus,-,-
abses selulitis orbita,-,-
abses serebri,-,-
abses steril,abses yang tidak disebabkan oleh bakteri piogenik,
absis,-,-
absisi,-,-
absolusi,-,-
absolut,-,-
absolutisme,-,-
absonan,-,-
absorb,-,-
absorbat,-,-
absorben,-,-
ab.sorb.si,→ absorpsi,
absorpsi,-,-
absorpsi air,"karakteristik tepung yang mampu mengambil dan menahan air atau cairan, ditentukan dengan cara mengukur jumlah cairan yang diperlukan untuk membuat adonan, dinyatakan dalam persentase liter air yang dibutuhkan per kilogram tepung",
absorpsi aktif,-,-
absorpsi pasif,-,-
absorpsiometer,-,-
absorpsiometri,-,-
absorptans,-,-
absorptif,-,-
absorptivitas,-,-
abstain,-,-
abstensi,-,-
abstinensi,-,-
abstrak,-,-
abstraksi,-,-
abstraksi dana bank,-,-
abstraksi data,-,-
abstraksionisme,-,-
absurd,-,-
absurdisme,-,-
absurditas,-,-
abt,-,-
abtar,-,-
abti,-,-
abu,-,-
abu gaharu,-,-
abu inang,-,-
abu jeljin,-,-
abu jerjeren,-,-
abu merang,-,-
abu saja tak hinggap,sesuatu yang sangat licin atau mengilap,
abu soda,-,-
abu terbang,-,-
abu tulang,serbuk putih yang tertinggal sesudah tulang dibakar di udara terbuka,
abu vulkanis,"partikel lava yang halus yang terembus ketika gunung berapi meletus, kadang-kadang partikel ini berembus tinggi sekali sehingga jatuh di tempat yang sangat jauh",
abu-abu,-,-
abuan,-,-
abubu,-,-
abudaga,-,-
abudo,-,-
abuh,-,-
abuh-abuhan,-,-
abuhan,-,-
abui,-,-
abuja,-,-
abuk,-,-
abuk gergaji,serbuk gergaji,
abuk-abuk,-,-
abukajung,-,-
abul,-,-
abulhayat,-,-
abulia,-,-
abulus,-,-
abumi,-,-
abun,-,-
abun-abun,-,-
abung,-,-
abur,-,-
aburage,-,-
aburan,-,-
abus,-,-
abut,-,-
abutmen,-,-
abuya,-,-
abuza,-,-
abyad,-,-
abyor,-,-
ac,-,-
acabis,-,-
acah,-,-
acak,-,-
acak-acak,-,-
acak-acakan,-,-
acakadul,-,-
acakadut,-,-
acala,-,-
acan,-,-
acan-acan,-,-
acang,-,-
acang-acang,-,-
acang-acang (dalam) kampung,"orang yang dipercayai oleh orang sekampung, para cerdik pandai dalam kampung",
acang-acang alat,orang yang mengatur peralatan,
acap,-,-
"acap berulang, yang jauh jadi dekat","karena sering mengunjungi yang jauh, lama-kelamaan terasa makin dekat",
"acap melempar, akan jatuh jua","karena merasa yakin, lambat laun akan dapat juga",
acap-acap,-,-
acapkali,-,-
acar,-,-
acar kuning,-,-
acar matang,-,-
acara,-,-
acara iklan,"acara di televisi atau radio  yang bersifat komersial, berupa penawaran barang atau jasa",
acara niaga,acara iklan,
acara pembukaan,acara yang dilaksanakan sebelum seluruh rangkaian acara yang akan digelar,
